Wavelength (nm), Global Tilt (W m-2 nm-1), Flux (W m-2)
2960.00, 4.597100e-03, 1.097512e-02
2965.00, 7.437900e-03, 1.778725e-02
2970.00, 3.523300e-04, 8.439948e-04
2975.00, 8.542900e-04, 2.049868e-03
2980.00, 1.338100e-03, 3.216167e-03
2985.00, 6.962800e-03, 1.676339e-02
2990.00, 1.028000e-02, 2.479123e-02
2995.00, 4.275500e-03, 1.032803e-02
3000.00, 7.847200e-03, 1.898758e-02
3005.00, 2.890600e-03, 7.005936e-03
3010.00, 6.847900e-03, 1.662485e-02
3015.00, 5.555100e-03, 1.350868e-02
3020.00, 6.336900e-04, 1.543539e-03
3025.00, 7.503100e-03, 1.830627e-02
3030.00, 6.075300e-03, 1.484718e-02
3035.00, 2.498600e-03, 6.116305e-03
3040.00, 2.024200e-03, 4.963188e-03
3045.00, 4.209000e-03, 1.033713e-02
3050.00, 1.032100e-03, 2.538957e-03
3055.00, 2.894700e-04, 7.132610e-04
3060.00, 6.301200e-03, 1.555172e-02
3065.00, 2.911300e-03, 7.196994e-03
3070.00, 1.749200e-03, 4.331233e-03
3075.00, 6.022100e-03, 1.493574e-02
3080.00, 3.622400e-03, 8.998722e-03
3085.00, 1.767100e-03, 4.396935e-03
3090.00, 2.380500e-03, 5.932809e-03
3095.00, 6.551000e-04, 1.635317e-03
3100.00, 4.401000e-03, 1.100390e-02
3105.00, 9.215500e-04, 2.307885e-03
3110.00, 8.456900e-04, 2.121316e-03
3115.00, 2.267700e-03, 5.697408e-03
3120.00, 9.819700e-03, 2.471078e-02
3125.00, 3.028900e-03, 7.634290e-03
3130.00, 5.761400e-03, 1.454474e-02
3135.00, 1.144600e-02, 2.894176e-02
3140.00, 3.324100e-03, 8.418553e-03
3145.00, 3.251700e-03, 8.248307e-03
3150.00, 6.674400e-03, 1.695729e-02
3155.00, 5.636600e-03, 1.434334e-02
3160.00, 9.232000e-03, 2.352971e-02
3165.00, 1.401700e-02, 3.578183e-02
3170.00, 1.251600e-02, 3.200063e-02
3175.00, 9.230200e-03, 2.363679e-02
3180.00, 1.062100e-02, 2.724120e-02
3185.00, 8.082300e-03, 2.076243e-02
3190.00, 4.238800e-03, 1.090605e-02
3195.00, 2.692700e-03, 6.938930e-03
3200.00, 4.384300e-04, 1.131577e-03
3205.00, 3.097300e-04, 8.006542e-04
3210.00, 1.363400e-04, 3.529897e-04
3215.00, 4.975200e-04, 1.290105e-03
3220.00, 1.608900e-03, 4.178483e-03
3225.00, 1.987500e-04, 5.169762e-04
3230.00, 3.408000e-04, 8.878423e-04
3235.00, 7.294000e-03, 1.903153e-02
3240.00, 3.746400e-03, 9.790229e-03
3245.00, 7.340900e-04, 1.921311e-03
3250.00, 2.606700e-03, 6.832948e-03
3255.00, 9.937800e-03, 2.609005e-02
3260.00, 1.224800e-03, 3.220449e-03
3265.00, 2.446500e-03, 6.442614e-03
3270.00, 1.218600e-03, 3.213976e-03
3275.00, 5.926500e-03, 1.565465e-02
3280.00, 2.864400e-03, 7.577766e-03
3285.00, 1.112800e-02, 2.948399e-02
3290.00, 8.757100e-03, 2.323753e-02
3295.00, 1.223400e-03, 3.251304e-03
3300.00, 1.779400e-03, 4.736104e-03
3305.00, 3.941600e-03, 1.050698e-02
3310.00, 3.923500e-03, 1.047455e-02
3315.00, 1.613300e-05, 4.313525e-05
3320.00, 5.998700e-05, 1.606308e-04
3325.00, 3.518700e-03, 9.436427e-03
3330.00, 4.661600e-03, 1.252025e-02
3335.00, 9.069400e-03, 2.439541e-02
3340.00, 3.460200e-03, 9.321405e-03
3345.00, 3.540800e-03, 9.552812e-03
3350.00, 8.027700e-03, 2.169050e-02
3355.00, 3.630800e-03, 9.824909e-03
3360.00, 5.240200e-03, 1.420106e-02
3365.00, 7.190700e-03, 1.951596e-02
3370.00, 3.938900e-03, 1.070628e-02
3375.00, 8.456000e-03, 2.301826e-02
3380.00, 5.111500e-03, 1.393474e-02
3385.00, 7.489600e-03, 2.044801e-02
3390.00, 9.855200e-03, 2.694628e-02
3395.00, 9.546500e-03, 2.614073e-02
3400.00, 1.250900e-02, 3.430325e-02
3405.00, 4.459400e-03, 1.224693e-02
3410.00, 7.080200e-03, 1.947303e-02
3415.00, 7.277400e-03, 2.004475e-02
3420.00, 1.316500e-02, 3.631455e-02
3425.00, 1.000600e-02, 2.764107e-02
3430.00, 8.689200e-03, 2.403851e-02
3435.00, 1.155300e-02, 3.200776e-02
3440.00, 8.034800e-03, 2.229293e-02
3445.00, 1.131800e-02, 3.144797e-02
3450.00, 1.115300e-02, 3.103448e-02
3455.00, 8.308900e-03, 2.315396e-02
3460.00, 1.253000e-02, 3.496720e-02
3465.00, 9.817900e-03, 2.743820e-02
3470.00, 1.226400e-02, 3.432380e-02
3475.00, 1.094300e-02, 3.067079e-02
3480.00, 1.122400e-02, 3.150363e-02
3485.00, 1.209400e-02, 3.399433e-02
3490.00, 1.041900e-02, 2.932818e-02
3495.00, 1.226500e-02, 3.457390e-02
3500.00, 1.191700e-02, 3.364098e-02
3505.00, 1.180900e-02, 3.338373e-02
3510.00, 1.196300e-02, 3.386733e-02
3515.00, 1.149400e-02, 3.258594e-02
3520.00, 1.212200e-02, 3.441523e-02
3525.00, 1.142800e-02, 3.249100e-02
3530.00, 1.112700e-02, 3.168010e-02
3535.00, 9.455600e-03, 2.695952e-02
3540.00, 9.031000e-03, 2.578534e-02
3545.00, 9.543200e-03, 2.728626e-02
3550.00, 1.053800e-02, 3.017312e-02
3555.00, 9.058100e-03, 2.597230e-02
3560.00, 1.079500e-02, 3.099605e-02
3565.00, 1.085100e-02, 3.120060e-02
3570.00, 8.337600e-03, 2.400728e-02
3575.00, 8.644400e-03, 2.492554e-02
3580.00, 1.018700e-02, 2.941461e-02
3585.00, 9.167100e-03, 2.650665e-02
3590.00, 9.452300e-03, 2.736942e-02
3595.00, 9.670000e-03, 2.803878e-02
3600.00, 1.026200e-02, 2.979670e-02
3605.00, 1.035900e-02, 3.012013e-02
3610.00, 9.478700e-03, 2.759877e-02
3615.00, 9.472600e-03, 2.761921e-02
3620.00, 1.161400e-02, 3.390971e-02
3625.00, 1.023900e-02, 2.993638e-02
3630.00, 9.955000e-03, 2.914618e-02
3635.00, 1.029900e-02, 3.019487e-02
3640.00, 1.148000e-02, 3.370365e-02
3645.00, 1.059900e-02, 3.115991e-02
3650.00, 1.012300e-02, 2.980134e-02
3655.00, 1.097800e-02, 3.236267e-02
3660.00, 1.091400e-02, 3.221801e-02
3665.00, 1.025300e-02, 3.030809e-02
3670.00, 7.900300e-03, 2.338532e-02
3675.00, 4.828600e-03, 1.431239e-02
3680.00, 8.331200e-03, 2.472801e-02
3685.00, 9.438000e-03, 2.805118e-02
3690.00, 9.692200e-03, 2.884579e-02
3695.00, 1.013200e-02, 3.019558e-02
3700.00, 1.087800e-02, 3.246269e-02
3705.00, 1.077000e-02, 3.218382e-02
